t,x,y,z,Gx,Gy,Gz,FillX,FillY,FillZ
-9.96,	61.5378631597,	-21.0448990138,	0,	2002.86476336,	-1121.11584733,	463.238839695,	1925.21168735,	-1077.1130094,	463.238839695
0.04,	61.5378631597,	-21.0448990138,	0,	1994.82112977,	-1116.61337405,	461.378442748,	1842.94284614,	-1030.54791063,	461.378442748
0.04,	61.5378631597,	-21.0448990138,	0,	1986.77749618,	-1112.11090076,	459.518045802,	1763.96475858,	-985.845415813,	459.518045802
0.04,	62.5504402019,	-26.5963802265,	0,	1991.24103817,	-1112.84567939,	452.967572519,	1700.19318615,	-948.180841871,	452.967572519
0.04,	62.5504402019,	-26.5963802265,	0,	1995.70458015,	-1113.58045802,	446.417099237,	1638.97247661,	-912.022850886,	446.417099237
0.04,	62.3545170634,	-27.2915056642,	0,	1995.79041221,	-1114.15890076,	448.699603053,	1575.99015701,	-877.188902115,	448.699603053
0.04,	62.3545170634,	-27.2915056642,	0,	1995.87624427,	-1114.73734351,	450.98210687,	1515.52713019,	-843.748311295,	450.98210687
0.04,	70.1101240005,	-19.6478488952,	0,	2000.88696183,	-1118.36433588,	455.687816794,	1462.5207388,	-814.266205471,	455.687816794
0.04,	70.1101240005,	-19.6478488952,	0,	2005.89767939,	-1121.99132824,	460.393526718,	1411.63460306,	-785.96338388,	460.393526718
0.04,	70.1101240005,	-19.6478488952,	0,	2010.90839695,	-1125.61832061,	465.099236641,	1362.78391275,	-758.792675152,	465.099236641
0.04,	67.1703467546,	-21.0624408998,	0,	2013.1050687,	-1129.71401527,	468.867236641,	1313.068175,	-733.215332652,	468.867236641
0.04,	67.1703467546,	-21.0624408998,	0,	2015.30174046,	-1133.80970992,	472.635236641,	1265.34106675,	-708.661083853,	472.635236641
0.04,	57.8295042215,	-32.1025839764,	0,	2018.51429008,	-1129.69777099,	462.333007634,	1220.12465189,	-677.651282483,	462.333007634
0.04,	57.8295042215,	-32.1025839764,	0,	2021.72683969,	-1125.58583206,	452.030778626,	1176.71689361,	-647.881873169,	452.030778626
0.04,	57.8295042215,	-32.1025839764,	0,	2024.93938931,	-1121.47389313,	441.728549618,	1135.04544567,	-619.303240227,	441.728549618
0.04,	62.8804964131,	-25.8417051421,	0,	2024.86827481,	-1122.05172519,	446.434259542,	1092.09057778,	-596.119497603,	446.434259542
0.04,	62.8804964131,	-25.8417051421,	0,	2024.79716031,	-1122.62955725,	451.139969466,	1050.8539046,	-573.863104683,	451.139969466
0.04,	61.2780095543,	-26.9295903983,	0,	2024.7260458,	-1124.14540458,	456.392854962,	1011.20259887,	-553.440977547,	456.392854962
0.04,	61.2780095543,	-26.9295903983,	0,	2024.6549313,	-1125.66125191,	461.645740458,	973.137345378,	-533.835735496,	461.645740458
0.04,	63.1246771671,	-24.7487666677,	0,	2017.39267176,	-1120.37679389,	456.893129771,	929.765069489,	-508.399177048,	456.893129771
0.04,	63.1246771671,	-24.7487666677,	0,	2010.13041221,	-1115.09233588,	452.140519084,	888.127684636,	-483.980080938,	452.140519084
0.04,	63.1246771671,	-24.7487666677,	0,	2002.86815267,	-1109.80787786,	447.387908397,	848.155795177,	-460.537748673,	447.387908397
0.04,	56.2602323304,	-28.5757744135,	0,	2001.85932824,	-1121.79853435,	453.031938931,	815.511501213,	-454.770299931,	453.031938931
0.04,	56.2602323304,	-28.5757744135,	0,	2000.85050382,	-1133.78919084,	458.675969466,	784.172979007,	-449.23354914,	458.675969466
0.04,	64.6071083244,	-24.6660978513,	0,	2011.95801527,	-1138.11969466,	456.034198473,	766.053555172,	-436.408134752,	456.034198473
0.04,	64.6071083244,	-24.6660978513,	0,	2023.06552672,	-1142.45019847,	453.392427481,	748.65890829,	-424.09573694,	453.392427481
0.04,	64.9971270957,	-25.0028718633,	0,	2019.63380153,	-1154.12848855,	461.069129771,	718.017980859,	-419.34318081,	461.069129771
0.04,	64.9971270957,	-25.0028718633,	0,	2016.20207634,	-1165.80677863,	468.745832061,	688.602690526,	-414.780726926,	468.745832061
0.04,	64.9971270957,	-25.0028718633,	0,	2012.77035115,	-1177.4850687,	476.422534351,	660.364011805,	-410.400771197,	476.422534351
0.04,	72.4653549207,	-16.3857204495,	0,	2014.96671756,	-1178.37587786,	468.778015267,	638.956577286,	-395.495345961,	468.778015267
0.04,	72.4653549207,	-16.3857204495,	0,	2017.16308397,	-1179.26668702,	461.133496183,	618.405440147,	-381.186137734,	461.133496183
0.04,	31.6507956392,	17.2730426987,	0,	2012.79273282,	-1187.89581679,	470.451114504,	590.739717267,	-373.531735097,	470.451114504
0.04,	31.6507956392,	17.2730426987,	0,	2008.42238168,	-1196.52494656,	479.768732824,	564.180623303,	-366.183508565,	479.768732824
0.04,	30.5874369318,	-0.54956780842,	0,	2014.36989313,	-1193.27193893,	478.533679389,	548.54650684,	-348.435263607,	478.533679389
0.04,	30.5874369318,	-0.54956780842,	0,	2020.31740458,	-1190.0189313,	477.298625954,	533.537755036,	-331.396948447,	477.298625954
0.04,	30.5874369318,	-0.54956780842,	0,	2026.26491603,	-1186.76592366,	476.063572519,	519.129353305,	-315.040165893,	476.063572519
0.04,	2.8971745741,	-12.6085966034,	0,	2018.61120611,	-1199.14619847,	475.063633588,	491.132504629,	-314.827966938,	475.063633588
0.04,	2.8971745741,	-12.6085966034,	0,	2010.95749618,	-1211.52647328,	474.063694656,	464.2555299,	-314.624255941,	474.063694656
