t,x,y,z,Gx,Gy,Gz,FillX,FillY,FillZ
-9.96,	0,	0,	0,	0,	0,	0,	0,	0,	0
0.04,	61.5378631597,	-21.0448990138,	0,	-12.5715692308,	0.662892307692,	-4.81944615385,	-9.60719193515,	-0.205419345168,	-4.81944615385
0.04,	61.5378631597,	-21.0448990138,	0,	-25.1431384615,	1.32578461538,	-9.63889230769,	-18.8300961929,	-0.40262191653,	-9.63889230769
0.04,	62.5504402019,	-26.5963802265,	0,	-12.5079384615,	-8.5664,	-23.9106461538,	-3.4450827371,	-10.9468694797,	-23.9106461538
0.04,	62.5504402019,	-26.5963802265,	0,	0.127261538462,	-18.4585846154,	-38.1824,	11.3245301805,	-21.0693471403,	-38.1824
0.04,	62.3545170634,	-27.2915056642,	0,	3.93969230769,	-28.0356923077,	-34.6523076923,	17.0256631942,	-30.5122568659,	-34.6523076923
0.04,	62.3545170634,	-27.2915056642,	0,	7.75212307692,	-37.6128,	-31.1222153846,	22.4987508875,	-39.5774502025,	-31.1222153846
0.04,	70.1101240005,	-19.6478488952,	0,	21.4900923077,	-53.3339076923,	-22.7084307692,	37.5916562735,	-53.8725295348,	-22.7084307692
0.04,	70.1101240005,	-19.6478488952,	0,	35.2280615385,	-69.0550153846,	-14.2946461538,	52.0808454441,	-67.5958056938,	-14.2946461538
0.04,	70.1101240005,	-19.6478488952,	0,	48.9660307692,	-84.7761230769,	-5.88086153846,	65.9904670479,	-80.7701508065,	-5.88086153846
0.04,	67.1703467546,	-21.0624408998,	0,	57.0326153846,	-101.441846154,	0.643076923077,	73.781583467,	-94.3809365641,	0.643076923077
0.04,	67.1703467546,	-21.0624408998,	0,	65.0992,	-118.107569231,	7.16701538462,	81.2610552292,	-107.447290891,	7.16701538462
0.04,	57.8295042215,	-32.1025839764,	0,	75.2131692308,	-118.231753846,	-14.6659692308,	90.0332036505,	-104.552719846,	-14.6659692308
0.04,	57.8295042215,	-32.1025839764,	0,	85.3271384615,	-118.355938462,	-36.4989538462,	98.4544661349,	-101.773931642,	-36.4989538462
0.04,	57.8295042215,	-32.1025839764,	0,	95.4411076923,	-118.480123077,	-58.3319384615,	106.53887812,	-99.1062949657,	-58.3319384615
0.04,	62.8804964131,	-25.8417051421,	0,	98.9372307692,	-128.056,	-49.9181538462,	108.148821005,	-105.368553219,	-49.9181538462
